iter	RMSE	R2
0	7707.796927	0.1016255218
1	7337.711735	0.1858242362
2	7019.029789	0.2550089614
3	6746.575709	0.3117223389
4	6516.206008	0.3579239222
5	6316.117582	0.3967500562
6	6137.834119	0.4303249861
7	5984.733332	0.4583902357
8	5854.400447	0.4817232483
9	5735.03912	0.5026413827
10	5643.812953	0.518338314
11	5563.063061	0.5320226396
12	5485.564672	0.5449704966
13	5415.538451	0.5565137443
14	5353.503883	0.5666157526
15	5294.789326	0.5760699065
16	5239.45082	0.5848850122
17	5177.944195	0.5945739887
18	5139.6648	0.6005462804
19	5101.364491	0.6064774831
20	5059.958067	0.6128397933
21	5023.379935	0.6184170768
22	5019.183061	0.6190544113
23	5015.194633	0.6196595975
24	4978.604132	0.6251892245
25	4975.071377	0.6257209578
26	4943.568338	0.6304459538
27	4940.196634	0.630949882
28	4906.360512	0.6359879251
29	4903.164039	0.6364620752
30	4900.096477	0.6369168127
31	4873.03052	0.6409167557
32	4870.248704	0.6413266108
33	4854.98164	0.6435717968
34	4852.315526	0.6439631544
35	4849.794225	0.6443330575
36	4847.302795	0.6446983891
37	4817.64829	0.6490323723
38	4815.355398	0.6493663689
39	4813.151125	0.649687307
40	4811.077661	0.6499890653
41	4788.166417	0.6533147616
42	4786.209849	0.6535980327
43	4784.349585	0.6538672536
44	4782.463324	0.65414013
45	4780.781012	0.6543834113
46	4762.366861	0.6570407091
47	4760.829768	0.6572620591
48	4748.762651	0.6589973103
49	4723.867364	0.6625633369
50	4722.401154	0.6627727739
51	4721.007647	0.6629717655
52	4699.835639	0.6659878861
53	4698.412551	0.6661901301
54	4697.05952	0.666382361
55	4695.849424	0.6665542376
56	4673.835558	0.6696732578
57	4672.998369	0.6697915851
58	4671.943182	0.6699406938
59	4665.281985	0.6708812115
60	4664.284909	0.6710218766
61	4663.575249	0.6711219755
62	4662.656144	0.6712515944
63	4645.679146	0.6736412197
64	4642.463527	0.6740928576
65	4619.542987	0.6773030184
66	4610.586402	0.6785531252
67	4599.012204	0.6801649896
68	4596.03211	0.6805793523
69	4564.491699	0.6849483773
70	4552.386668	0.6866171952
71	4551.574769	0.6867289662
72	4551.037523	0.6868029159
73	4550.494506	0.686877651
74	4523.66148	0.6905595577
75	4512.57692	0.6920741754
76	4504.286531	0.6932045626
77	4498.109895	0.6940453904
78	4496.821904	0.6942205797
79	4490.79408	0.6950398022
80	4490.298127	0.6951071568
81	4467.451538	0.6982018469
82	4461.60172	0.698991697
83	4454.321447	0.6999732434
84	4445.116979	0.7012119206
85	4436.567907	0.702360104
86	4430.652992	0.703153213
87	4430.293717	0.7032013528
88	4429.517921	0.7033052895
89	4413.646933	0.7054275983
90	4412.907012	0.7055263565
91	4406.020665	0.7064446924
92	4400.6959	0.7071537986
93	4394.826977	0.7079343778
94	4388.847171	0.7087286333
95	4381.771231	0.7096670835
96	4366.752259	0.7116539645
97	4357.658237	0.7128537094
98	4341.339591	0.715000305
99	4338.658964	0.7153521513
